name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
Stephen Curry,Golden State Warriors,2/14/2018,2017,3975,1610612744,400975610,2,4,35,0,Jump Shot,3PT Field Goal,22,Portland Trail Blazers,-228,6,0,0,,0,0
Kevin Durant,Golden State Warriors,10/17/2017,2017,3202,1610612744,400974438,3,9,35,1,Jump Shot,3PT Field Goal,26,Houston Rockets,176,193,0,0,,0,0
Kevin Durant,Golden State Warriors,11/2/2017,2017,3202,1610612744,400974868,2,5,12,0,Jump Shot,2PT Field Goal,15,San Antonio Spurs,-114,100,0,0,,0,0
Kevin Durant,Golden State Warriors,11/16/2017,2017,3202,1610612744,400974966,1,10,57,0,Jump Shot,3PT Field Goal,28,Boston Celtics,202,197,0,0,,0,0
Kevin Durant,Golden State Warriors,10/27/2017,2017,3202,1610612744,400974826,3,6,46,1,Jump Shot,2PT Field Goal,18,Washington Wizards,152,108,0,0,,0,0
Kevin Durant,Golden State Warriors,2/3/2018,2017,3202,1610612744,400975528,2,4,57,1,Jump Shot,2PT Field Goal,12,Denver Nuggets,-127,9,0,0,,0,0
Kevin Durant,Golden State Warriors,12/8/2017,2017,3202,1610612744,400975119,3,9,16,1,Jump Shot,3PT Field Goal,26,Detroit Pistons,-188,186,0,0,,0,0
Klay Thompson,Golden State Warriors,10/17/2017,2017,6475,1610612744,400974438,1,3,28,0,Jump Shot,2PT Field Goal,18,Houston Rockets,-116,141,0,0,,0,0
Klay Thompson,Golden State Warriors,10/27/2017,2017,6475,1610612744,400974826,2,8,15,0,Jump Shot,3PT Field Goal,25,Washington Wizards,140,211,0,0,,0,0
Draymond Green,Golden State Warriors,2/10/2018,2017,6589,1610612744,400975577,1,8,43,0,Jump Shot,3PT Field Goal,23,San Antonio Spurs,232,47,0,0,,0,0
Draymond Green,Golden State Warriors,1/13/2018,2017,6589,1610612744,400975377,1,10,19,1,Jump Shot,3PT Field Goal,25,Toronto Raptors,96,235,0,0,,0,0
Stephen Curry,Golden State Warriors,2/8/2018,2017,3975,1610612744,400975561,1,8,55,0,Jump Shot,3PT Field Goal,25,Dallas Mavericks,226,109,0,0,,0,0
Kevin Durant,Golden State Warriors,10/17/2017,2017,3202,1610612744,400974438,2,7,52,1,Jump Shot,2PT Field Goal,12,Houston Rockets,96,79,0,0,,0,0
Klay Thompson,Golden State Warriors,12/30/2017,2017,6475,1610612744,400975281,4,6,56,0,Jump Shot,3PT Field Goal,25,Memphis Grizzlies,61,250,0,0,,0,0
Klay Thompson,Golden State Warriors,2/10/2018,2017,6475,1610612744,400975577,4,6,40,1,Jump Shot,2PT Field Goal,15,San Antonio Spurs,144,58,0,0,,0,0
Draymond Green,Golden State Warriors,2/10/2018,2017,6589,1610612744,400975577,3,11,27,0,Jump Shot,3PT Field Goal,25,San Antonio Spurs,156,206,0,0,,0,0
Kevon Looney,Golden State Warriors,2/10/2018,2017,3155535,1610612744,400975577,4,1,59,0,Jump Shot,2PT Field Goal,7,San Antonio Spurs,-70,21,0,0,,0,0
Nick Young,Golden State Warriors,2/10/2018,2017,3243,1610612744,400975577,4,1,7,1,Jump Shot,3PT Field Goal,26,San Antonio Spurs,163,212,0,0,,0,0
Nick Young,Golden State Warriors,2/10/2018,2017,3243,1610612744,400975577,4,3,7,0,Jump Shot,2PT Field Goal,16,San Antonio Spurs,105,127,0,0,,0,0
Stephen Curry,Golden State Warriors,2/22/2018,2017,3975,1610612744,400975618,3,3,44,1,Jump Shot,3PT Field Goal,26,Los Angeles Clippers,-13,266,0,0,,0,0
Stephen Curry,Golden State Warriors,1/25/2018,2017,3975,1610612744,400975459,4,1,38,1,Jump Shot,3PT Field Goal,27,Minnesota Timberwolves,165,218,0,0,,0,0
Andre Iguodala,Golden State Warriors,2/10/2018,2017,2386,1610612744,400975577,4,3,35,1,Jump Shot,2PT Field Goal,19,San Antonio Spurs,156,111,0,0,,0,0
Andre Iguodala,Golden State Warriors,1/25/2018,2017,2386,1610612744,400975459,4,2,17,0,Jump Shot,3PT Field Goal,23,Minnesota Timberwolves,234,40,0,0,,0,0
Draymond Green,Golden State Warriors,1/25/2018,2017,6589,1610612744,400975459,4,1,7,0,Jump Shot,3PT Field Goal,28,Minnesota Timberwolves,-6,285,0,0,,0,0
David West,Golden State Warriors,2/10/2018,2017,2177,1610612744,400975577,4,6,5,1,Jump Shot,2PT Field Goal,7,San Antonio Spurs,7,71,0,0,,0,0
Draymond Green,Golden State Warriors,1/25/2018,2017,6589,1610612744,400975459,4,0,9,0,Jump Shot,3PT Field Goal,32,Minnesota Timberwolves,157,281,0,0,,0,0
Stephen Curry,Golden State Warriors,10/27/2017,2017,3975,1610612744,400974826,2,4,1,0,Jump Shot,3PT Field Goal,29,Washington Wizards,140,260,0,0,,0,0
Klay Thompson,Golden State Warriors,1/25/2018,2017,6475,1610612744,400975459,4,4,16,1,Jump Shot,3PT Field Goal,26,Minnesota Timberwolves,187,187,0,0,,0,0
Andre Iguodala,Golden State Warriors,2/10/2018,2017,2386,1610612744,400975577,1,5,38,1,Jump Shot,2PT Field Goal,11,San Antonio Spurs,90,69,0,0,,0,0
Kevin Durant,Golden State Warriors,10/23/2017,2017,3202,1610612744,400974796,1,9,5,1,Jump Shot,3PT Field Goal,25,Dallas Mavericks,141,209,0,0,,0,0
Shaun Livingston,Golden State Warriors,2/10/2018,2017,2393,1610612744,400975577,2,11,7,0,Jump Shot,2PT Field Goal,12,San Antonio Spurs,54,116,0,0,,0,0
Stephen Curry,Golden State Warriors,2/10/2018,2017,3975,1610612744,400975577,1,3,16,0,Jump Shot,3PT Field Goal,26,San Antonio Spurs,128,231,0,0,,0,0
Stephen Curry,Golden State Warriors,1/27/2018,2017,3975,1610612744,400975474,3,8,53,0,Jump Shot,2PT Field Goal,21,Boston Celtics,-168,134,0,0,,0,0
Stephen Curry,Golden State Warriors,2/3/2018,2017,3975,1610612744,400975528,1,1,20,0,Jump Shot,3PT Field Goal,25,Denver Nuggets,111,231,0,0,,0,0
Kevin Durant,Golden State Warriors,2/10/2018,2017,3202,1610612744,400975577,2,2,23,0,Jump Shot,2PT Field Goal,18,San Antonio Spurs,71,176,0,0,,0,0
Klay Thompson,Golden State Warriors,2/10/2018,2017,6475,1610612744,400975577,4,7,11,1,Jump Shot,2PT Field Goal,16,San Antonio Spurs,-155,69,0,0,,0,0
Stephen Curry,Golden State Warriors,10/27/2017,2017,3975,1610612744,400974826,1,4,38,0,Jump Shot,3PT Field Goal,25,Washington Wizards,-229,112,0,0,,0,0
Shaun Livingston,Golden State Warriors,1/25/2018,2017,2393,1610612744,400975459,2,4,46,0,Jump Shot,2PT Field Goal,15,Minnesota Timberwolves,-110,102,0,0,,0,0
Stephen Curry,Golden State Warriors,2/8/2018,2017,3975,1610612744,400975561,1,2,21,0,Jump Shot,3PT Field Goal,28,Dallas Mavericks,156,237,0,0,,0,0
Nick Young,Golden State Warriors,2/22/2018,2017,3243,1610612744,400975618,3,2,5,0,Jump Shot,3PT Field Goal,25,Los Angeles Clippers,-198,162,0,0,,0,0
Jordan Bell,Golden State Warriors,10/30/2017,2017,,1610612744,400974851,2,4,41,1,Jump Shot,2PT Field Goal,10,Los Angeles Clippers,-100,16,0,0,,0,0
Nick Young,Golden State Warriors,2/10/2018,2017,3243,1610612744,400975577,4,1,27,0,Jump Shot,3PT Field Goal,25,San Antonio Spurs,35,248,0,0,,0,0
Kevin Durant,Golden State Warriors,2/10/2018,2017,3202,1610612744,400975577,3,10,19,1,Jump Shot,2PT Field Goal,13,San Antonio Spurs,123,55,0,0,,0,0
Klay Thompson,Golden State Warriors,2/8/2018,2017,6475,1610612744,400975561,1,10,24,1,Jump Shot,2PT Field Goal,21,Dallas Mavericks,-197,97,0,0,,0,0
Andre Iguodala,Golden State Warriors,2/10/2018,2017,2386,1610612744,400975577,1,2,7,0,Jump Shot,2PT Field Goal,18,San Antonio Spurs,127,132,0,0,,0,0
Nick Young,Golden State Warriors,10/23/2017,2017,3243,1610612744,400974796,4,0,45,1,Jump Shot,3PT Field Goal,26,Dallas Mavericks,35,260,0,0,,0,0
